"","skclnt","skitem","buyer_num","buyer_name","po_number","ndc","item_description","vendor_number","vendor_name","ship_point","sub_group","actual_leadtime","order_date","receipt_date","sku_lt_orderdate","relationship_lt_orderdate","realtionship_lt_today","order_qty","total_receipt_qty","purchasing_team","orderdate_aa_code","bypass_lt","gen_nam","card_gcn_id","card_gen_ind_desc","ahfs_desc","fin_flag","fin_flag_gcn","source_type","nlc_type_desc","accunet","card_sbst_key_id","pack_qty","cvs_formulary_a_b_d","cvs_segment","sku","snapshot_date","skfcst","skappc"
"4422","032D","4253605","628","JEANNINE ROGERS","4403454","10702000801","OXYCODONE HCL 15MG 100 IR C2","09283","KVK TECH INC CS","PA","",10,2021-09-20,2021-09-30,9.06,11,11,96,96,"Generics","998","N","OXYCODONE HCL","20091","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",100,"20091093",1,"PRIMARY, PRIMARY, NO FORM","C2, C2, C2","4253605032D",2021-11-01,57.92,15
"4423","028D","5065313","622","ESMERALDA TUSSING","4321022","63739064510","FAMOTIDINE 20MG 10X10UD","02626","MCKESSON PACKAGING SERVICES","","",52,2021-08-02,2021-09-23,2.86,3,3,12,12,"Generics","996","Y","FAMOTIDINE","46430","GENERIC DRUG","HISTAMINE H2-ANTAGONISTS",NA,"yes","SOURCE A - OUT OF SCOPE","NOT CENTRALIZED",100,"46430003",10,NA,"OV, OV, OV","5065313028D",2021-11-01,44.26,8.56
"4424","064D","5090964","632","ADAM STEMM","0373113","13668022130","ARIPIPRAZOLE 30MG 30","09196","TORRENT PHARMA INC CS","","",9,2021-07-14,2021-07-23,7,7,7,24,24,"Generics","982","Y","ARIPIPRAZOLE","18541","GENERIC DRUG","ANTIPSYCHOTICS, MISCELLANEOUS",NA,"yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",30,"18541001",1,NA,"WH, WH, WH","5090964064D",2021-11-01,1.7,50.45
"4425","099D","5489539","624","ASHLEY BOLTZ","4325207","10147015001","ITRACONAZOLE 10MG/ML 150ML","04890","PATRIOT PHARMACEUTICALS LLC CS","","",2,2021-08-04,2021-08-06,2.01,2,2,250,250,"Generics","0","N","ITRACONAZOLE","49100","GENERIC DRUG","AZOLES","4","yes","SOURCE A - IN SCOPE","CENTRALIZED",150,"49100001",1,"PRIMARY, PRIMARY, PRIMARY","OV, OV, OV","5489539099D",2021-11-01,250.65,289.27
"4426","064D","5469036","632","ADAM STEMM","0369630","00121082601","OXYCODONE HCL 20MG/ML 30ML C2","04289","PHARMACEUTICAL ASSOC CS","SC","OPIOID",2,2021-05-24,2021-05-26,4.52,7,6,12,12,"Generics","0","N","OXYCODONE HCL","16281","GENERIC DRUG","OPIATE AGONISTS","2","yes","SOURCE B - IN SCOPE","CENTRALIZED",30,"16281004",1,NA,"C2, C2, C2","5469036064D",2021-11-01,2,169
"4427","024D","5351341","625","JEFF MEGYESI","4251312","69076091302","MERCAPTOPURINE 50MG 25","11233","QUINN PHARMACEUTICALS LLC CS","","",3,2021-06-21,2021-06-24,3.45,3,3,48,48,"Generics","0","N","MERCAPTOPURINE","38520","GENERIC DRUG","ANTINEOPLASTIC AGENTS",NA,"yes","GENERIC DRUG","NOT CENTRALIZED",25,"38520001",1,NA,"WH, WH, WH","5351341024D",2021-11-01,3.98,79.25
"4428","064D","5403621","633","CAMERON HOWARD","4437406","69097094405","ATORVASTATIN 10MG 90","11037","CIPLA USA INC CS","","",8,2021-10-11,2021-10-19,10.76,7,7,144,144,"Generics","0","N","ATORVASTATIN CALCIUM","43720","GENERIC DRUG","HMG-COA REDUCTASE INHIBITORS","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",90,"43720001",1,NA,"WH, WH, WH","5403621064D",2021-11-01,78.4,11.47
"4429","099D","3538394","630","CODY DIERCKS","4309080","00472037915","CLOTRIM/BETAMETH 1-0.05% 15GM","02543","TEVA PHARMA CS","","",2,2021-07-26,2021-07-28,3.7,6,6,96,96,"Generics","0","N","CLOTRIMAZOLE/BETAMETH DIP","6919","GENERIC DRUG","ANTIFULGALS (SKIN, MUCOUS MEMBRANE),MISC",NA,"yes","GENERIC DRUG","CENTRALIZED",15,"06919002",1,"NO FORM, PRIMARY, NO FORM",NA,"3538394099D",2021-11-01,310.29,10.12
"4430","043D","5443114","632","ADAM STEMM","4246715","43547038809","FOSINOPRIL SODIUM 40MG 90","09614","SOLCO HEALTHCARE US LLC CS","","",8,2021-06-16,2021-06-24,6.77,7,7,36,36,"Generics","0","N","FOSINOPRIL SODIUM","48580","GENERIC DRUG","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS",NA,"yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",90,"48580002",1,"PRIMARY, PRIMARY, PRIMARY","WH, WH, WH","5443114043D",2021-11-01,11.09,22.4
"4431","099D","4380044","624","ASHLEY BOLTZ","4275495","67877019790","AMLODIPINE BESYLATE 2.5MG 90","09571","ASCEND LABORATORIES CS","","",7,2021-07-02,2021-07-09,3.9,4,4,1152,1152,"Generics","0","Y","AMLODIPINE BESYLATE","2681","GENERIC DRUG","DIHYDROPYRIDINES","4","yes","SOURCE B - IN SCOPE","CENTRALIZED",90,"02681001",1,NA,NA,"4380044099D",2021-11-01,1340.35,1.75
"4432","043D","5319454","699","NO BUYER ASSIGNED","4323763","60687022901","LOPERAMIDE HCL 2MG 10X10UD","03641","AMERICAN HEALTH PACKAGING","","",6,2021-08-03,2021-08-09,5.91,6,1,9,9,"MISC","0","Y","LOPERAMIDE HCL","8370","GENERIC DRUG","ANTIDIARRHEA AGENTS",NA,"yes","SOURCE A - OUT OF SCOPE","CENTRALIZED",100,"08370003",10,NA,NA,"5319454043D",2021-11-01,11.95,67.06
"4433","028D","4910121","628","JEANNINE ROGERS","4413355","10702000601","CYCLOBENZAPRINE 5MG 100","09283","KVK TECH INC CS","","",3,2021-09-27,2021-09-30,4.14,10,10,48,48,"Generics","996","Y","CYCLOBENZAPRINE HCL","12805","GENERIC DRUG","CENTRALLY ACTING SKELETAL MUSCLE RELAXNT","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",100,"12805000",1,"NO FORM, PRIMARY, NO FORM","WH, WH, WH","4910121028D",2021-11-01,20.44,4.7
"4434","099D","5504709","624","ASHLEY BOLTZ","4355378","52187053201","HYDROCORT/IODOQL 1-1% 28.4GM","57464","CINTEX SERVICES LLC CS","","",2,2021-08-23,2021-08-25,2.87,3,3,120,120,"Generics","0","N","HYDROCORTISONE/IODOQUINOL","84261","GENERIC DRUG","LOCAL ANTI-INFECTIVES, MISCELLANEOUS","4","yes","SOURCE A - IN SCOPE","CENTRALIZED",30,"84261003",1,"PRIMARY, PRIMARY, PRIMARY","WH, WH, WH","5504709099D",2021-11-01,134.27,137.95
"4435","008D","5314398","633","CAMERON HOWARD","4280584","50268014415","BUPRNPH/NALOX 2-0.5MG5X10UD C3","09825","AVKARE INC","","",5,2021-07-07,2021-07-12,2.56,5,5,4,4,"Generics","0","N","BUPRENORPHINE HCL/NALOXONE HCL","18973","GENERIC DRUG","OPIATE PARTIAL AGONISTS",NA,"yes","SOURCE A - OUT OF SCOPE","NOT CENTRALIZED",50,"18973001",5,NA,"WH, WH, WH","5314398008D",2021-11-01,1.06,194.84
"4436","099D","4558177","628","JEANNINE ROGERS","4220310","60505264807","TIZANIDINE HCL 2MG 150","02775","APOTEX CORP CS","","",3,2021-05-31,2021-06-03,3.78,4,4,216,216,"Generics","0","Y","TIZANIDINE HCL","24433","GENERIC DRUG","CENTRALLY ACTING SKELETAL MUSCLE RELAXNT","4","yes","SOURCE B - IN SCOPE","CENTRALIZED",150,"24433000",1,"SECONDARY, NO FORM, PRIMARY","OV, OV, OV","4558177099D",2021-11-01,257.51,61.01
"4437","026D","4593539","628","JEANNINE ROGERS","4266878","66689003799","NYSTATIN 500MU/5ML 100X5MLUD","04259","VISTAPHARM INC","","",9,2021-06-29,2021-07-08,6.01,8,8,8,8,"Generics","0","Y","NYSTATIN","42440","GENERIC DRUG","POLYENES",NA,"yes","SOURCE A - OUT OF SCOPE","NOT CENTRALIZED",500,"42440008",100,NA,"WH, WH, WH","4593539026D",2021-11-01,19.04,84
"4438","064D","5561576","624","ASHLEY BOLTZ","4343014","51224022070","METFORMIN HCL 1000MG 1000","10168","TAGI PHARMA INC CS","","",7,2021-08-16,2021-08-23,5.89,7,5,192,192,"Generics","0","N","METFORMIN HCL","10857","GENERIC DRUG","BIGUANIDES","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",1000,"10857003",1,NA,"WH, WH, WH","5561576064D",2021-11-01,245.31,82.35
"4439","015D","2976033","630","CODY DIERCKS","4376813","00338002303","DEXTROSE/WATER 10% 24X500ML","00157","BAXTER IV SYSTEMS","","",4,2021-09-03,2021-09-07,1,3,2,3,3,"Generics","982","Y","DEXTROSE 10%/WATER","6671","GENERIC DRUG","CALORIC AGENTS",NA,NA,"GENERIC DRUG","NOT CENTRALIZED",12000,"06671061",24,NA,NA,"2976033015D",2021-11-01,3.17,129.35
"4440","011D","3591385","633","CAMERON HOWARD","4287867","00406851501","OXYCODONE HCL 15MG 100 IR C2","04157","SPECGX LLC CS SCHEDULE","NY","",4,2021-07-12,2021-07-16,2.94,3,3,12,12,"Generics","0","N","OXYCODONE HCL","20091","GENERIC DRUG","OPIATE AGONISTS",NA,"yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",100,"20091093",1,"SECONDARY, SECONDARY, SECONDARY","C2, C2, C2","3591385011D",2021-11-01,17.61,31.85
"4441","064D","5099114","632","ADAM STEMM","4384258","43547035410","LISINOPRIL 20MG 100 CPLT","09614","SOLCO HEALTHCARE US LLC CS","","",13,2021-09-08,2021-09-21,12.03,8,8,6,6,"Generics","0","N","LISINOPRIL","47262","GENERIC DRUG","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",100,"47262002",1,NA,"WH, WH, WH","5099114064D",2021-11-01,2.42,8
"4442","064D","5561303","628","JEANNINE ROGERS","4460617","60505708402","FENTANYL 100MCG/HR 5 C2","02775","APOTEX CORP CS","TN","OPIOID",3,2021-10-25,2021-10-28,3.84,7,7,180,180,"Generics","992","Y","FENTANYL","19203","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE A - IN SCOPE","CENTRALIZED",5,"19203001",1,NA,"C2, C2, C2","5561303064D",2021-11-01,230.64,97
"4443","099D","3325784","604","TYLER PATETE","4385077","00074726950","GENGRAF 100MG/ML 50ML","05000","ABBVIE US LLC","","NON DSA",2,2021-09-08,2021-09-10,1.91,2,2,12,12,"Brand","0","Y","CYCLOSPORINE MODIFIED","13917","GENERIC DRUG","IMMUNOSUPPRESSIVE AGENTS",NA,"yes","GENERIC DRUG","CENTRALIZED",50,"13917001",1,NA,NA,"3325784099D",2021-11-01,25.72,395.32
"4444","024D","5272927","632","ADAM STEMM","4323365","33342011107","MONTELUKAST SODIUM 5MG 30","10556","MACLEODS PHARMA USA INC CS","","",7,2021-08-03,2021-08-10,6.02,6,6,96,96,"Generics","0","N","MONTELUKAST SODIUM","94440","GENERIC DRUG","LEUKOTRIENE MODIFIERS","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",30,"94440001",1,NA,"WH, WH, WH","5272927024D",2021-11-01,48.85,15.65
"4445","064D","5590104","622","ESMERALDA TUSSING","0369926","58657070201","HALOPERIDOL 2MG 100","10742","METHOD PHARMACEUTICALS LLC CS","","",6,2021-05-26,2021-06-01,5.44,7,7,24,24,"Generics","996","Y","HALOPERIDOL","15533","GENERIC DRUG","ANTIPSYCHOTICS, MISCELLANEOUS",NA,"yes","GENERIC DRUG","NOT CENTRALIZED",100,"15533003",1,"PRIMARY, PRIMARY, PRIMARY","WH, WH, WH","5590104064D",2021-11-01,2.27,100
"4446","064D","4300414","632","ADAM STEMM","0369376","61442011201","ACYCLOVIR 400MG 100","09748","CARLSBAD TECHNOLOGY INC CS","","",3,2021-05-18,2021-05-21,4.73,7,7,24,24,"Generics","0","Y","ACYCLOVIR","13724","GENERIC DRUG","NUCLEOSIDES AND NUCLEOTIDES","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",100,"13724001",1,NA,"WH, WH, WH","4300414064D",2021-11-01,28.63,17.65
"4447","064D","5448071","628","JEANNINE ROGERS","0368185","10702019401","HYDROCOD/APAP 10-300MG 100 C2","09283","KVK TECH INC CS","PA","",4,2021-05-03,2021-05-07,8,8,8,24,24,"Generics","992","Y","HYDROCOD/ACETAMIN","22929","GENERIC DRUG","OPIATE AGONISTS","2","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",100,"22929000",1,NA,"C2, C2, C2","5448071064D",2021-11-01,10.87,49.95
"4448","099D","5499504","627","LISA POSTON","4241978","69238105601","CHLORPROMAZINE 25MG 100","04511","AMNEAL PHARMACEUTICALS LLC CS","","",2,2021-06-14,2021-06-16,5.16,3,3,120,120,"Generics","0","N","CHLORPROMAZINE HCL","14432","GENERIC DRUG","ANTIPSYCHOTICS, MISCELLANEOUS",NA,"yes","SOURCE B - IN SCOPE","CENTRALIZED",100,"14432002",1,"PRIMARY, PRIMARY, PRIMARY","WH, WH, WH","5499504099D",2021-11-01,59.12,241.92
"4449","064D","3614955","632","ADAM STEMM","0374887","00487990401","ALBUTEROL SULF 0.042% 30X3UD","10941","NEPHRON PHARMACEUTICALS CORP CS","","",7,2021-08-10,2021-08-17,8.9,7,7,120,120,"Generics","996","Y","ALBUTEROL SULFATE","14634","GENERIC DRUG","SELECTIVE BETA-2-ADRENERGIC AGONISTS","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",90,"14634007",30,NA,"WH, WH, WH","3614955064D",2021-11-01,58,39.84
"4450","008D","2905768","633","CAMERON HOWARD","4364817","00406117003","NALTREXONE 50MG 30 CPLT","02598","SPECGX LLC CS","","",2,2021-08-30,2021-09-01,2.64,3,3,12,12,"Generics","998","Y","NALTREXONE HCL","17070","GENERIC DRUG","OPIATE ANTAGONISTS","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",30,"17070002",1,"SECONDARY, SECONDARY, SECONDARY","WH, WH, WH","2905768008D",2021-11-01,30.41,45
"4451","064D","5658166","632","ADAM STEMM","0372886","70756081430","OLMES MEDOX/HCTZ 40-25MG 30","57201","LIFESTAR PHARMA LLC CS","","",5,2021-07-12,2021-07-17,4.37,4,4,72,72,"Generics","0","N","OLMESARTAN MEDOXOMIL/HCTZ","20076","GENERIC DRUG","ANGIOTENSIN II RECEPTOR ANTAGONISTS","2","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",30,"20076000",1,NA,"WH, WH, WH","5658166064D",2021-11-01,50.81,18
"4452","034D","2752640","633","CAMERON HOWARD","4242286","00409141210","BUMETANIDE 0.25MG/ML 10X10ML","57147","PFIZER INJECTABLE SI","","",4,2021-06-14,2021-06-18,8,8,8,54,54,"Generics","992","Y","BUMETANIDE","34810","GENERIC DRUG","LOOP DIURETICS",NA,NA,"SOURCE A - OUT OF SCOPE","NOT CENTRALIZED",100,"34810003",10,NA,NA,"2752640034D",2021-11-01,85.89,33.08
"4453","026D","5697891","627","LISA POSTON","4353936","69784000306","FLUCONAZ/SOD 400MG 6X200ML","57172","WOODWARD PHARMA SERVICES LLC","","",2,2021-08-23,2021-08-25,2.45,7,6,8,8,"Generics","0","Y","FLUCONAZOLE/SOD CL","69791","GENERIC DRUG","AZOLES",NA,NA,"SOURCE A - OUT OF SCOPE","NOT CENTRALIZED",1200,"69791001",6,NA,NA,"5697891026D",2021-11-01,6.28,42
"4454","099D","5319843","628","JEANNINE ROGERS","4378884","10370082911","DILTIAZEM 120MG 30 ER","02546","PAR PHARM CS","","",5,2021-09-03,2021-09-08,2.01,3,3,72,72,"Generics","0","Y","DILTIAZEM HCL","2326","GENERIC DRUG","CALCIUM-CHANNEL BLOCKING AGENTS, MISC.",NA,"yes","GENERIC DRUG","CENTRALIZED",30,"02326011",1,NA,NA,"5319843099D",2021-11-01,64.75,23.9
"4455","018D","5533799","699","NO BUYER ASSIGNED","4335123","60687043201","TRAZODONE 150MG 10X10UD","03641","AMERICAN HEALTH PACKAGING","","",10,2021-08-10,2021-08-20,2.11,6,1,3,3,"MISC","0","N","TRAZODONE HCL","16393","GENERIC DRUG","ANTIDEPRESSANTS, MISCELLANEOUS",NA,"yes","SOURCE A - OUT OF SCOPE","CENTRALIZED",100,"16393006",10,NA,"WH, WH, WH","5533799018D",2021-11-01,3.78,57.18
"4456","064D","5097688","628","JEANNINE ROGERS","0372842","10702001850","OXYCODONE HCL 5MG 500 IR C2","09283","KVK TECH INC CS","PA","",4,2021-07-12,2021-07-16,7.33,8,8,72,72,"Generics","0","N","OXYCODONE HCL","16290","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",500,"16290006",1,NA,"C2, C2, C2","5097688064D",2021-11-01,59.02,42.5
"4457","064D","5595103","632","ADAM STEMM","4358439","33342033380","TRIAMCIN ACET 0.1% 80GM TOP","10556","MACLEODS PHARMA USA INC CS","","",15,2021-08-24,2021-09-08,12.08,8,8,408,408,"Generics","0","N","TRIAMCINOLONE ACETONIDE","31242","GENERIC DRUG","CORTICOSTEROIDS (SKIN, MUCOUS MEMBRANE)","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",80,"31242015",1,NA,"WH, WH, WH","5595103064D",2021-11-01,687.28,9.91
"4458","032D","5644299","632","ADAM STEMM","4240537","70756070360","RANOLAZINE 500MG 60 ER","57201","LIFESTAR PHARMA LLC CS","","",7,2021-06-14,2021-06-21,5.63,7,6,300,204,"Generics","0","N","RANOLAZINE","26459","GENERIC DRUG","CARDIAC DRUGS, MISCELLANEOUS","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",60,"26459001",1,NA,"WH, WH, WH","5644299032D",2021-11-01,434.11,40
"4459","064D","5411756","627","LISA POSTON","4429042","62559051001","INDAPAMIDE 1.25MG 100","05300","ANI PHARMACEUTICALS INC CS","","",6,2021-10-05,2021-10-11,6.15,7,7,12,12,"Generics","998","Y","INDAPAMIDE","7311","GENERIC DRUG","THIAZIDE-LIKE DIURETICS","2","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",100,"07311002",1,"PRIMARY, PRIMARY, PRIMARY",NA,"5411756064D",2021-11-01,30.88,18
"4460","099D","3605961","624","ASHLEY BOLTZ","4398322","51079025520","METOPROLOL TART 25MG 10X10UD","00230","MYLAN INSTITUTIONAL INC","","",1,2021-09-16,2021-09-17,2.07,5,3,350,350,"Generics","0","N","METOPROLOL TARTRATE","17734","GENERIC DRUG","BETA-ADRENERGIC BLOCKING AGENTS",NA,"yes","GENERIC DRUG","CENTRALIZED",100,"17734002",10,NA,"WH, WH, WH","3605961099D",2021-11-01,1335.13,9.54
"4461","064D","3591369","633","CAMERON HOWARD","4372679","00406052301","OXYCOD/APAP 10-325MG 100 C2","04157","SPECGX LLC CS SCHEDULE","NY","OPIOID",6,2021-09-01,2021-09-07,5.9,7,7,192,192,"Generics","0","N","OXYCODONE/ACETAMIN","14966","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",100,"14966000",1,NA,"C2, C2, C2","3591369064D",2021-11-01,214,49.4
"4462","009D","5250378","699","NO BUYER ASSIGNED","4208405","69315090401","LORAZEPAM 0.5MG 100 C4","11002","LEADING PHARMA LLC CS NCB","","",11,2021-05-24,2021-06-04,11.58,9,1,48,48,"MISC","992","Y","LORAZEPAM","14160","GENERIC DRUG","BENZODIAZEPINES (ANXIOLYTIC,SEDATIV/HYP)","4","yes","SOURCE A - IN SCOPE","CENTRALIZED",100,"14160002",1,NA,"WH, WH, WH","5250378009D",2021-11-01,65.74,7.5
"4463","099D","3217023","622","ESMERALDA TUSSING","4236922","63323041112","MIDAZOLAM 1MG/ML 25X2ML C4","02614","FRESENIUS KABI LLC","","CAGEBEN",2,2021-06-10,2021-06-12,5,5,5,80,80,"Generics","982","Y","MIDAZOLAM HCL","33799","GENERIC DRUG","BENZODIAZEPINES (ANXIOLYTIC,SEDATIV/HYP)",NA,NA,"GENERIC DRUG","CENTRALIZED",50,"33799001",25,NA,NA,"3217023099D",2021-11-01,170.34,28.5
"4464","099D","3629011","623","MARISSA HORN","4207414","00781340295","AMPICILLIN SOD 250MG 10","00351","SANDOZ","","",8,2021-05-24,2021-06-01,5.61,4,5,72,72,"Generics","0","Y","AMPICILLIN SODIUM","39244","GENERIC DRUG","PENICILLINS",NA,NA,"GENERIC DRUG","CENTRALIZED",10,"39244007",10,NA,NA,"3629011099D",2021-11-01,216.59,26.78
"4465","016D","4993242","630","CODY DIERCKS","4329939","36000028325","FUROSEMIDE 10MG/ML 25X4ML","09384","CLARIS BAXTER","","",2,2021-08-09,2021-08-11,4.73,3,3,72,72,"Generics","0","N","FUROSEMIDE","34940","GENERIC DRUG","LOOP DIURETICS","4","yes","SOURCE A - OUT OF SCOPE","NOT CENTRALIZED",100,"34940006",25,NA,NA,"4993242016D",2021-11-01,63.46,72.5
"4466","064D","5551692","632","ADAM STEMM","4425776","72578000801","METRONIDAZOLE 500MG 100","57603","VIONA PHARMACEUTICALS INC CS","","",4,2021-10-04,2021-10-08,5.83,7,7,15,15,"Generics","0","N","METRONIDAZOLE","43032","GENERIC DRUG","ANTIPROTOZOALS, MISCELLANEOUS","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",100,"43032006",1,NA,"WH, WH, WH","5551692064D",2021-11-01,2.8,36
"4467","064D","4957478","627","LISA POSTON","4390620","76385010001","METHSCOPOLAMINE BR 2.5MG 100","10830","BAYSHORE PHARMACEUTICAL LLC CS","","",8,2021-09-13,2021-09-21,4.62,7,7,12,12,"Generics","0","N","METHSCOPOLAMINE BROMIDE","18861","GENERIC DRUG","ANTIMUSCARINICS/ANTISPASMODICS","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",100,"18861001",1,NA,"OV, OV, OV","4957478064D",2021-11-01,2.09,135.23
"4468","099D","3713740","627","LISA POSTON","4355208","00054327099","FLUTICASONE PROP 50MCG 16GM","02811","HIKMA CS","","",2,2021-08-23,2021-08-25,2.16,3,3,4320,4320,"Generics","992","Y","FLUTICASONE PROPIONATE","62263","GENERIC DRUG","CORTICOSTEROIDS (EENT)","4","yes","SOURCE B - IN SCOPE","CENTRALIZED",16,"62263004",1,"PRIMARY, PRIMARY, PRIMARY","WH, WH, WH","3713740099D",2021-11-01,9281.6,11
"4469","064D","5320916","624","ASHLEY BOLTZ","0368223","49483068703","PARICALCITOL CP 1MCG 30 SFG","11334","TIME CAP LABS INC CS","","",8,2021-05-03,2021-05-11,6.55,7,6,48,48,"Generics","0","N","PARICALCITOL","24722","GENERIC DRUG","VITAMIN D","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",30,"24722000",1,NA,"WH, WH, WH","5320916064D",2021-11-01,40.32,30
"4470","064D","5026356","634","CHRISTOPHER PELT","0368176","43386011801","HCOD/HOMA 5-1.5MG 100 C2","04901","LUPIN PHARMA INC CS NCBNET","KY","OPIOID",3,2021-05-03,2021-05-06,3.59,7,7,36,36,"Generics","979","Y","HYDROCOD/HOMATROPINE","96041","GENERIC DRUG","ANTITUSSIVES",NA,"yes","GENERIC DRUG","CENTRALIZED",100,"96041001",1,"SECONDARY, SECONDARY, SECONDARY","C2, C2, C2","5026356064D",2021-11-01,36.29,77.45
"4471","016D","5394093","634","CHRISTOPHER PELT","4234533","57664068357","LINEZOLID 600MG/300ML 10X30","01526","SUN PHARMACEUTICAL","","",9,2021-06-09,2021-06-18,7.96,6,6,10,10,"Generics","0","N","LINEZOLID","26873","GENERIC DRUG","ANTIBACTERIALS, MISCELLANEOUS",NA,NA,"GENERIC DRUG","NOT CENTRALIZED",3000,"26873009",10,NA,NA,"5394093016D",2021-11-01,8.48,625
"4472","032D","4942207","699","NO BUYER ASSIGNED","4291713","68084014901","METHYLPREDNISOLONE 4MG 10X10UD","03641","AMERICAN HEALTH PACKAGING","","",7,2021-07-14,2021-07-21,7.69,7,2,3,3,"MISC","0","N","METHYLPREDNISOLONE","27056","GENERIC DRUG","ADRENALS",NA,"yes","SOURCE A - OUT OF SCOPE","CENTRALIZED",100,"27056005",10,NA,"WH, WH, WH","4942207032D",2021-11-01,0.11,167.06
"4473","064D","3565926","633","CAMERON HOWARD","0374763","61703034222","PACLITAXEL 100MG/16.7ML","57147","PFIZER INJECTABLE SI","","",38,2021-08-09,2021-09-16,7.4,7,7,9,9,"Generics","992","Y","PACLITAXEL","85602","GENERIC DRUG","ANTINEOPLASTIC AGENTS",NA,NA,"SOURCE A - OUT OF SCOPE","NOT CENTRALIZED",17,"85602003",1,NA,NA,"3565926064D",2021-11-01,2.23,25.63
"4474","064D","5669809","633","CAMERON HOWARD","0374279","69097064202","EMTRICITABINE 200MG 30","11037","CIPLA USA INC CS","","",17,2021-08-02,2021-08-19,5.71,7,7,12,12,"Generics","998","Y","EMTRICITABINE","20019","GENERIC DRUG","ANTIRETROVIRALS","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",30,"20019000",1,"PRIMARY, PRIMARY, PRIMARY","OV, OV, OV","5669809064D",2021-11-01,10.9,463.5
"4475","064D","4300414","632","ADAM STEMM","0369177","61442011201","ACYCLOVIR 400MG 100","09748","CARLSBAD TECHNOLOGY INC CS","","",9,2021-05-17,2021-05-26,4.73,7,7,48,48,"Generics","0","N","ACYCLOVIR","13724","GENERIC DRUG","NUCLEOSIDES AND NUCLEOTIDES","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",100,"13724001",1,NA,"WH, WH, WH","4300414064D",2021-11-01,28.63,17.65
"4476","008D","3883329","633","CAMERON HOWARD","4238817","00406900076","FENTANYL 100MCG/HR 5 C2","02598","SPECGX LLC CS","NY","",3,2021-06-14,2021-06-17,2.31,4,4,48,48,"Generics","0","N","FENTANYL","19203","GENERIC DRUG","OPIATE AGONISTS",NA,"yes","GENERIC DRUG","NOT CENTRALIZED",5,"19203001",1,"SECONDARY, SECONDARY, SECONDARY","C2, C2, C2","3883329008D",2021-11-01,93.65,137.79
"4477","043D","5521000","628","JEANNINE ROGERS","4331369","50228010901","CARISOPRODOL 350MG 100 C4","57532","SCIEGEN PHARMACEUTICALS INC CS","","",3,2021-08-09,2021-08-12,3.61,3,3,96,96,"Generics","0","N","CARISOPRODOL","17912","GENERIC DRUG","CENTRALLY ACTING SKELETAL MUSCLE RELAXNT",NA,"yes","GENERIC DRUG","NOT CENTRALIZED",100,"17912002",1,NA,"WH, WH, WH","5521000043D",2021-11-01,93,11.99
"4478","099D","5449905","627","LISA POSTON","4241334","00115173801","METHYLPHENIDATE 30MG 100 ER C2","04511","AMNEAL PHARMACEUTICALS LLC CS","KY","",3,2021-06-14,2021-06-17,9.43,3,4,120,120,"Generics","0","N","METHYLPHENIDATE HCL","20386","GENERIC DRUG","RESPIRATORY AND CNS STIMULANTS","4","yes","SOURCE A - IN SCOPE","CENTRALIZED",100,"20386002",1,NA,"C2, C2, C2","5449905099D",2021-11-01,141.46,170.53
"4479","027D","5211016","627","LISA POSTON","4243901","62559038001","FLECAINIDE ACETATE 50MG 100","05300","ANI PHARMACEUTICALS INC CS","","",3,2021-06-15,2021-06-18,3.16,6,4,12,12,"Generics","0","N","FLECAINIDE ACETATE","1581","GENERIC DRUG","ANTIARRHYTHMICS, MISCELLANEOUS",NA,"yes","GENERIC DRUG","NOT CENTRALIZED",100,"01581001",1,NA,NA,"5211016027D",2021-11-01,13.09,43.05
